Month,M. Max Temp,M.Min Temp,H.Max.Temp,L.Min.Temp,TMRF,Heaviest Rainfall 24 Hrs,No.of Rainy Days,M.WS,MRH 8.30,MRH 17.30,PV,PF
1,24.0,13.1,27.8,12.2,9.1,6.3,2.0,10.8,69.0,67.0,176,105
2,24.6,16.6,28.9,13.8,179.8,52.1,11.0,10.0,75.0,67.0,149,66
3,26.6,17.8,30.8,15.1,31.5,16.4,2.0,15.1,65.0,59.0,321.0,122.0
4,28.3,20.0,32.0,16.0,286.0,72.0,6.0,11.8,78,73,274.0,124.0
5,29.9,22.3,36.5,18.8,585.0,190.0,13.0,8.5,73.0,71.0,528.0,180
6,30.1,23.0,36.0,20.0,610.0,120.0,16.0,8.4,80.2,75.5,734,306
7,31.2,24.8,36.4,23.1,664.0,180.7,21.0,3.2,88.0,80.0,1185,714
8,33.0,25.0,36.9,23.1,536.4,108.1,12.0,4.5,80.0,76.0,962,462
9,30.4,23.6,35.5,21.7,547.2,114.0,16.0,5.0,84.0,85.0,423,250
10,30.9,21.7,33.2,18.3,26.8,18.3,2.0,9.3,66.0,82.0,364,228
11,26.2,17.4,30.9,13.4,177.1,75.3,6.0,9.7,70.0,81.0,308,194
12,24.4,14.2,26.6,13.0,42.4,36.3,2.0,12.8,67.0,78.0,203,73
1,22.7,13.7,26.5,10.2,13.7,9.1,2,12.4,69,73,202,68
2,22.5,14.4,28.7,11.0,94.1,28.8,11,10.1,73,75,276,66
3,26.5,17.3,32.8,14.2,114.3,34.6,7,11.7,67,71,246,91
4,25.9,19.4,33.7,16.4,556.9,145.4,17,7.5,78,78,247,137
5,31.0,23.2,36.5,19.9,478.5,95.4,11,7.6,74,73,419,243
6,29.7,23.3,34.6,21.4,899.4,134.1,21,4.5,86,81,573,324
7,28.9,23.9,36.3,21.1,1526.8,153.9,25,2.6,91,87,717,460
8,32.1,24.8,36.0,22.5,366.5,106.3,9,3.3,83,80,678,314
9,30.5,23.2,35.3,20.6,791.6,255.8,13,5.4,81,86,363,135
10,30.2,22.0,35.6,18.1,84.1,26.8,9,6.8,74,81,376,122
11,28.1,17.8,31.2,14.5,9.8,6.5,2,11.7,63,74,310,135
12,24.6,13.4,26.4,10.6,9.1,7.3,1,10.2,66,73,192,77
1,21.3,13.0,26.7,10.0,243.3,59,12,9.2,75,77,124,0
2,22.5,13.0,28.0,7.6,73.2,16.7,6,12.2,74,73,104,7
3,25.0,17.0,29.6,13.9,188.6,42.5,12,11.1,76,72,181,6
4,28.0,22.5,32.6,16.4,203.5,46,13,6.7,75,73,164,0
5,30.2,23.0,34.8,20.0,356,52.2,11,5.8,80,74,350,8
6,30.4,23.7,34.8,22.2,703.7,121.2,19,5.3,85,80,549,0
7,30.3,24.0,35.8,22.3,1063.7,212.8,25,2.9,90,82,167,3
8,29.6,23.8,34.9,22.2,995.1,154.1,20,2.1,92,88,528,7
9,31.8,23.5,35.6,20.2,232.9,79.2,7,3.1,81,81,690,12
10,30.1,20.9,33.0,17.4,108.8,43,5,7.3,73,79,344,4
11,27.8,16.2,29.8,14.4,5.7,3.2,2,13.3,61,71,228,12
12,25.6,14.8,28.0,12.0,1.4,1.2,0,11.3,68,74,154,6
1,24.5,14.0,28.2,11.9,52.9,18.8,4.0,9.6,69,68,83,0
2,25.0,15.2,29.8,13.0,153.4,34.7,9.0,12.3,70,65,70,10
3,28.0,17.4,32.9,12.8,46.1,14.2,5.0,14.0,62,58,136,18
4,28.1,19.8,33.4,14.7,245.2,41.6,13.0,8.2,72,71,241,16
5,30.9,22.0,36.2,19.0,159.7,42.8,11.0,9.3,74,70,406,1
6,31.6,23.7,35.8,21.0,466.9,129.8,13.0,3.5,84,77,422,17
7,31.1,24.2,37.1,22.3,558.9,68.0,18.0,2.1,89,83,290,3
