STATE,API_95,API_96,API_97,API_98,API_99,API_2000,API_01,API_02,API_03,API_04,API_05,API_06,API_07,API_08,API_09,API_10,API_11,API_12,API_13,API_14
Andaman and Nicobar Islands,4.35,2.95,2.41,2.75,2.06,2.2,2.03,1.9,1.95,1.87,9.91,6.77,11.1553,13.1629,16.1729,6.9746,5.0397,4.0438,2.6407,1.4636
Andhra Pradesh,1.53,1.98,1.95,1.81,1.94,1.17,0.85,0.54,0.51,0.5,0.55,0.47,0.3648,0.3467,0.33,0.4382,0.4132,0.292,0.2339,0.2843
Arunachal Pradesh,57.16,53.78,72.67,65.98,62.56,45.35,53.01,43.97,32.93,28.27,29.53,37.1,29.2103,26.5454,20.0971,16.3429,10.0815,6.0474,4.6237,4.3296
Assam,9.32,7.13,4.85,3.62,4.92,3.16,3.48,3.23,2.75,2.02,2.34,4.3,3.5585,3.149,3.4294,2.5643,1.5189,0.9613,0.6262,0.4658
Bihar,0.85,0.98,0.7,1.12,1.25,0.12,0.05,0.04,0.03,0.02,0.03,0.03,0.0192,0.0306,0.0392,0.023,0.0254,0.025,0.0259,0.0166
Chandigarh,14.52,15.99,6.87,2.26,0.6,0.33,0.37,0.17,0.09,0.21,0.44,0.46,0.3775,0.3853,0.4774,0.3897,0.5514,0.1904,0.1421,0.108
Chhattisgarh,0,0,0,0,0,16.33,12.89,10.21,8.28,8.28,8.01,7.9,7.081,5.9276,6.2109,7.3059,5.3591,4.8544,4.3118,4.7946
Dadra and Nagar Haveli,115.88,86.72,71.47,38.19,20.26,13.13,3.85,2.24,1.85,2.63,3.9,11.76,17.1436,13.7739,15.4565,25.8651,14.9836,14.3726,5.173,2.0308
Daman and Diu,13.58,17.84,9.23,5.43,3.06,1.06,0.55,1.08,0.87,0.72,0.6,0.81,0.6258,0.7269,0.6131,1.2895,1.0771,0.7647,0.3741,0.2261
Delhi,0.71,0.98,0.69,0.33,0.32,0.21,0.11,0.05,0.06,0.09,0.08,0.06,0.0131,0.0183,0.0122,0.0181,0.0246,0.0228,0.021,0.0058
